"Term in English
英文术语","English Definition
英文定义","Term in Chinese
术语中文翻译","Chinese Definition
中文定义","Comments
注释"
State,Particular condition at a specific time,状态,特定时间下的状态,Refers to 'state' of the atmosphere (not 'nation')
Uncertainty/ certainty,"A state of incomplete knowledge that can result from a lack of information or from disagreement
about what is known or even knowable",不确定性/确定性,由于信息缺失或者对已知甚至可知信息的不同见解而产生的不完善的知识状态,Definition from IPCC SR1.5 (2018).
Skill,"A statistical evaluation of the accuracy of forecasts or the effectiveness of detection techniques.
",技巧,信号侦测手段的有效性,Definition from American Meteorological Society (2021). Available at: https://glossary.ametsoc.org/wiki/Skill (accessed 03/03/2021)
Ensemble,A collection of model simulations characterizing a climate prediction or projection. Differences in initial conditions and model formulation result in different evolutions of the modeled system and may give information on uncertainty associated with various errors.,集合,针对某一变量，综合采用不同数据源进行估计，从而提升估计值的可靠性,Adapted from IPCC AR5 WGII (2014).
Precision,The quality of being exactly defined.,精密度,多次重复测定同一量时各测定值之间彼此相符合的程度,Definition from American Meteorological Society (2021). Available at: https://glossary.ametsoc.org/wiki/Precision (accessed 03/03/2021)
Accuracy,The extent to which results of a calculation or the readings of an instrument approach the true values of the calculated or measured quantities.,准确度,对某一变量的估计或者仪器度数的准确度，用以刻画测量值与真实值的接近程度,Definition from American Meteorological Society (2021). Available at: https://glossary.ametsoc.org/wiki/Accuracy (accessed 03/03/2021)
Exceedance,"For any threshold, x, the probability that during the year the random variable in question, X, will exceed some x; exceedance probability =
P = [X>x]",超越（概率）,变量X超过临界值x的概率,Definition from American Meteorological Society (2021). Available at: https://glossary.ametsoc.org/wiki/Exceedance_probability
Excess,Exceeding a prescribed or desirable amount.,超值,超过临界值的数量,Definition from Oxford Languages (2021).
Vulnerability,The propensity or predisposition of assets to be adversely affected by hazards.,脆弱性,承灾体易于受到致灾因子的破坏、伤害或损伤的可能性,Definition used in ARUP's city tool.
Exposure,"The presence of people,  ivelihoods,species or ecosystems,  nvironmental functions,services, and resources, infrastructure, or economic,social, or
cultural assets in places and settings that could be adversely affected.",暴露,人员、生计、种群、生态环境、服务、资源、基础设施，以及经济、社会和文化财产处于可能被灾害破坏的状态,Definition from IPCC AR5.
Predictability,The extent to which future states of a system may be predicted based on knowledge of current and past states of the system.,可预报性,基于历史数据，对于未来状态的可预测程度,Definition from American Meteorological Society (2021). Available at: https://glossary.ametsoc.org/wiki/Predictability (accessed 03/03/2021)
Confidence,"The robustness of a finding based on the type, amount, quality and consistency of evidence (e.g., mechanistic understanding, theory, data, models, expert judgment) and on the degree of agreement across multiple lines of evidence. ",信度,被测量参数的测量值的可信程度,Definition from IPCC SR1.5 (2018).
Likelihood,Probability of a hazard event occurring.,可能性,给定特定观测值后，描述模型参数是否合理,Definition used in ARUP's city tool.
Surprises,"Low probability, high consequence events",突发事件,低可能性但会产生重大影响的事件,
Probability,"The chance that a prescribed event  will occur, represented as a pure  number p in the range 0 ≤ p ≤ 1.",概率,某事件可能发生的百分比,Definition from American Meteorological Society (2021). Available at:  https://glossary.ametsoc.org/wiki/Probability (accessed 03/03/2021)
Reliability,The degree of correspondence between forecast probabilities and observed relative frequencies.,可靠性,指采用同样的方法对同一对象重复测量时所得结果的一致性程度,Also: 预测概率与观察到的相对频率之间的对应程度。
Properties/ property,Characteristics,特征,某事物或事件的特有或突出属性,Could be mistaken for 'owned item' or 'estate/building'
End-user/ next user,A person who ultimately uses or is intended to ultimately use a product/ the next person who uses or is intended to use a product,终端用户/下游用户,最终使用或打算最终使用产品或服务的人/下一个使用或打算使用产品或服务的人,
