English,Suggested definition in English,Suggested Mandarin translation,Meaning of Mandarin translation,Comments
State,Particular condition at a specific time,状态,特定时间下的状态,e.g. 'state' of the atmosphere (not 'nation')
Uncertainty/ certainty,"A state of incomplete knowledge that can result from a lack of information or from disagreement
about what is known or even knowable",不确定性/确定性,由于信息缺失或者对已知甚至可知信息的不同见解而产生的不完善的知识状态,IPCC SR1.5 (2018). Meaning of translation changed from: 由于信息缺失或者对已知和尚未获得信息的不同见解而产生的对某一现象或状态的不确知
Skill,"A statistical evaluation of the accuracy of forecasts or the effectiveness of detection techniques.
",技巧,信号侦测手段的有效性,https://glossary.ametsoc.org/wiki/Skill
Ensemble,"A collection of comparable datasets that reflect variations within the bounds of one or more sources of uncertainty, and that when averaged can provide a more robust estimate of underlying behaviour. ",集合,针对某一变量，综合采用不同数据源进行估计，从而提升估计值的可靠性,"Ensemble techniques are used by the observational, reanalysisand modelling communities. IPCC AR6"
Precision,The quality of being exactly defined.,精密度,多次重复测定同一量时各测定值之间彼此相符合的程度,"Proofreading: Translation of this term is much more complicated than the original text 
 https://glossary.ametsoc.org/wiki/Precision
"
Accuracy,The extent to which results of a calculation or the readings of an instrument approach the true values of the calculated or measured quantities.,准确度,对某一变量的估计或者仪器度数的准确度，用以刻画测量值与真实值的接近程度,https://glossary.ametsoc.org/wiki/Accuracy
Exceedance,"For any threshold, x, the probability that during the year the random variable in question, X, will exceed some x; exceedance probability =
P = [X>x]",超越（概率）,变量X超过临界值x的概率,https://glossary.ametsoc.org/wiki/Exceedance_probability
Excess,Exceeding a prescribed or desirable amount.,超值,超过临界值的数量,Oxford Languages
Vulnerability,The propensity or predisposition to be adversely affected,脆弱性,承灾体易于受到致灾因子的破坏、伤害或损伤的可能性,"Vulnerability encompasses a variety of concepts and elements including sensitivity
or susceptibility to harm and lack of capacity to cope and adapt. IPCC AR5"
Exposure,"The presence of people,  ivelihoods,species or ecosystems,  nvironmental functions,services, and resources, infrastructure, or economic,social, or
cultural assets in places and settings that could be adversely affected.",暴露,人员、生计、种群、生态环境、服务、资源、基础设施，以及经济、社会和文化财产处于可能被灾害破坏的状态,IPCC AR5
Predictability,"The extent to which future states of a system may be predicted based on
knowledge of current and past states of the system.",可预报性,基于历史数据，对于未来状态的可预测程度,"Because knowledge of the climate system’s past and current states is generally imperfect, as are the models that utilize this knowledge to produce a climate prediction, and because the climate system is inherently nonlinear and chaotic, predictability of the climate system is inherently limited. Even with arbitrarily accurate models and observations, there may still be limits to the predictability of such a nonlinear system (AMS, 2000). IPCC AR5"
Confidence,,信度,被测量参数的测量值的可信程度,Proofreading: changed from: 置信
Likelihood,,可能性,给定特定观测值后，描述模型参数是否合理,Proofreading: changed from: 似然
Surprises,"Low probability, high consequence events",突发事件,低可能性但会产生重大影响的事件,Proofreading: changed from: 异常
Probability,"The chance that a prescribed event  will occur, represented as a pure  number p in the range 0 ≤ p ≤ 1.",概率,某事件可能发生的百分比,"The probability of an impossible event is zero and that of an inevitable event is unity. Probability is estimated empirically by relative frequency, that is, the number of times the particular event occurs divided by the total count of all events in the class considered. 

https://glossary.ametsoc.org/wiki/Probability"
Reliability,,可靠性,指采用同样的方法对同一对象重复测量时所得结果的一致性程度,Proofreading: changed from: 信度
Properties/Property,Characteristics,特征,某事物或事件的特有或突出属性,could be mistaken for owned item or estate/building
End-user/ next user,,终端用户/下游用户,,
Urban characteristic/s,Aspects/Features of the urban environment/form,关于城市环境的特征 ,Aspects/Features of the urban environment/form,could be mis-tranlsated as Mandarin equivalent of 'urban disease'
City asset,City Infrastructure,城市基础设施,City Infrastructure,
Adaptive capacity,"The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences",适应能力,指一个系统能修正或改变其特 质或行为，使在面对既有的或预期的外部压力时能有 更好的处理能力,Used in Arup's city tool. IPCC SR1.5
Annual Exceedende Probability (AEP),"The likelihood that an event
exceeding some magnitude occurs in any given year",年超越概率,指某一年内某超过临界值事件的发生可能性,Used in Arup's city tool. IPCC SR1.5
Climate Change,"A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties and that persists for an extended period, typically decades or longer.",气候变化,当前气候的平均态或变率产生包含或超过年代纪的持续变化,Used in Arup's city tool. IPCC SR1.5
Global Climate Model,"A numerical representation of the climate system based on the physical, chemical and biological properties of its components, their interactions and feedback processes, and accounting for some of its known properties.",全球气候模式,全球尺度下，依据物理、化学和生物学关系对气候系统进行数值模拟的工具,Used in Arup's city tool. IPCC SR1.5
